episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,377.0,5.849644427010944,5.830118456646285,-176.00893386103292,15.0,0.6,3,0.5,False,True,67.10558134695847,104,23.11822180235112,31.826,in_progress,0.0
0,378.0,5.7987745333614225,5.825105219721123,-175.6485154737888,15.0,0.6,3,0.5,False,True,67.36522837476441,104,23.11822180235112,31.88,in_progress,0.0
0,379.0,5.759794566022223,5.8191803937342845,-174.94555918634487,15.0,0.6,3,0.5,False,True,67.53401040509256,104,23.11822180235112,31.944,in_progress,0.0
0,380.0,5.71914851611792,5.810809232162475,-173.77154725357192,15.0,0.6,3,0.5,False,True,67.7127634769432,105,23.11822180235112,32.011,in_progress,0.0
0,381.0,5.6765267636568915,5.7995985628551585,-172.26990739517646,15.0,0.6,3,0.5,False,True,67.90326333352458,105,23.11822180235112,32.071,in_progress,0.0
0,382.0,5.638074216607719,5.787652758216383,-170.69767530778117,15.0,0.6,3,0.5,False,True,68.11800100341287,105,23.11822180235112,32.144,in_progress,0.0
0,383.0,5.58064197967341,5.766381142087909,-167.96513647872146,15.0,0.6,3,0.5,False,True,68.38289361021486,106,23.11822180235112,32.216,in_progress,0.0
0,384.0,5.542186449837473,5.750047045455151,-166.11870132709578,30.0,0.6,4,0.5,False,True,68.56327836186593,106,23.11822180235112,32.287,in_progress,0.0
0,385.0,5.500085937488849,5.727295572489754,-163.3036366211738,15.0,0.6,3,0.5,False,True,68.81917110201266,106,23.11822180235112,32.344,in_progress,0.0
0,386.0,5.466923679580192,5.706226014672751,-160.79871576357672,15.0,0.6,3,0.5,False,True,68.98664584271384,107,23.11822180235112,32.423,in_progress,0.0
0,387.0,5.4236106470618175,5.674888294024348,-157.28889208656096,15.0,0.6,3,0.5,False,True,69.21174207657809,107,23.11822180235112,32.488,in_progress,0.0
0,388.0,5.38805677073321,5.645762334603696,-154.2102183847233,15.0,0.6,3,0.5,False,True,69.48688131714823,107,23.11822180235112,32.554,in_progress,0.0
0,389.0,5.356043229491896,5.617090648861456,-151.49125257464573,15.0,0.6,3,0.5,False,True,69.6667419517731,108,23.11822180235112,32.623,in_progress,0.0
0,390.0,5.322259811361197,5.58288559495154,-148.27063027872532,15.0,0.6,3,0.1,False,True,70.02029591216284,108,23.11822180235112,32.677,in_progress,0.0
0,391.0,5.29210370571491,5.549178267725889,-145.2467407206901,30.0,0.6,4,0.1,False,True,70.21067402142556,108,23.11822180235112,32.754,in_progress,0.0
0,392.0,5.263813614607499,5.50920542103274,-141.5666382395993,15.0,0.6,3,0.1,False,True,70.40992288134692,109,23.11822180235112,32.821,in_progress,0.0
0,393.0,5.240418026468506,5.472488321106045,-138.24648865166216,15.0,0.6,3,0.1,False,True,70.73978143090729,109,23.11822180235112,32.883,in_progress,0.0
